lemma,translation,paradigm,difficulty,categories
pes,dog,pán,A1,animals
den,day,hrad,A1,time
dítě,child,kuře,A1,family
chléb,bread,hrad,A1,food
oko,eye,město,A1,body
ucho,ear,město,A1,body
člověk,person,pán,A1,"misc,people"
muž,man,muž,A1,family
chlapec,boy,pán,A1,family
student,student,pán,A1,"misc,people"
přítel,friend,muž,A1,"misc,people"
bratr,brother,pán,A1,family
otec,father,pán,A1,family
syn,son,pán,A1,family
kocour,tomcat,pán,A1,animals
dům,house,hrad,A1,places
stůl,table,hrad,A1,objects
stromek,small tree,hrad,A2,nature
sešit,notebook,hrad,A1,objects
telefon,phone,hrad,A1,objects
počítač,computer,stroj,A1,objects
vlak,train,hrad,A1,transportation
autobus,bus,hrad,A1,transportation
most,bridge,hrad,A1,places
park,park,hrad,A1,places
les,forest,hrad,A1,nature
hrad,castle,hrad,A1,places
hotel,hotel,hrad,A1,places
obchod,shop,hrad,A1,places
žena,woman,žena,A1,family
matka,mother,žena,A1,family
dcera,daughter,žena,A1,family
sestra,sister,žena,A1,family
přítelkyně,girlfriend,růže,A1,family
kniha,book,žena,A1,objects
škola,school,žena,A1,places
ulice,street,růže,A1,places
vesnice,village,růže,A1,places
kavárna,cafe,žena,A1,places
restaurace,restaurant,růže,A1,places
místnost,room,kost,A1,places
kočka,cat,žena,A1,animals
růže,rose,růže,A1,nature
věc,thing,kost,A1,misc
práce,work,růže,A1,misc
radost,joy,kost,A1,"misc,abstract"
noc,night,kost,A1,time
věž,tower,růže,A1,places
tramvaj,tram,růže,A1,transportation
město,city,město,A1,places
moře,sea,moře,A1,nature
okno,window,město,A1,objects
kuře,chicken,kuře,A1,animals
děvče,girl,kuře,A1,family
kino,cinema,město,A1,places
nádraží,station,stavení,A1,places
náměstí,square,stavení,A1,places
auto,car,město,A1,transportation
pivo,beer,město,A1,food
víno,wine,město,A1,food
jídlo,food,město,A1,food
maso,meat,město,A1,food
jablko,apple,město,A1,food
slovo,word,město,A1,misc
gymnázium,high school,město,A2,places
muzeum,museum,město,A1,places
pero,pen,město,A1,objects
tužka,pencil,žena,A1,objects
papír,paper,hrad,A1,objects
zápisník,notepad,hrad,A2,objects
taška,bag,žena,A1,objects
kabelka,handbag,žena,A2,objects
bota,shoe,žena,A1,objects
košile,shirt,růže,A1,objects
hlava,head,žena,A1,body
ruka,hand,žena,A1,body
noha,leg,žena,A1,body
nos,nose,hrad,A1,body
srdce,heart,moře,A1,body
mléko,milk,město,A1,food
sýr,cheese,hrad,A1,food
máslo,butter,město,A1,food
ryba,fish,žena,A1,food
vejce,egg,moře,A1,food
káva,coffee,žena,A1,food
čaj,tea,stroj,A1,food
voda,water,žena,A1,food
týden,week,hrad,A1,time
měsíc,month,hrad,A1,time
rok,year,hrad,A1,time
hodina,hour,žena,A1,time
minuta,minute,žena,A1,time
rodina,family,žena,A1,family
babička,grandmother,žena,A1,family
dědeček,grandfather,pán,A1,family
strýc,uncle,pán,A1,family
teta,aunt,žena,A1,family
manžel,husband,pán,A1,family
manželka,wife,žena,A1,family
strom,tree,hrad,A1,nature
květ,blossom,hrad,A1,nature
tráva,grass,žena,A1,nature
hora,mountain,žena,A1,"nature,places"
řeka,river,žena,A1,nature
jezero,lake,město,A1,nature
slunce,sun,moře,A1,nature
hvězda,star,žena,A1,nature
obloha,sky,žena,A1,nature
život,life,hrad,A1,misc
smrt,death,kost,A2,misc
čas,time,hrad,A1,time
láska,love,žena,A1,misc
štěstí,happiness,stavení,A1,misc
problém,problem,hrad,A1,misc
otázka,question,žena,A1,misc
odpověď,answer,kost,A1,misc
pravda,truth,žena,A1,"misc,abstract"
svoboda,freedom,žena,A2,"misc,abstract"
doba,time,,A1,time
místo,place,,A1,places
strana,side,,A1,misc
země,country,,A1,places
případ,case,,A2,misc
svět,world,,A1,places
cesta,way,,A1,misc
část,part,,A1,"misc,abstract"
konec,end,,A1,time
chvíle,while,,A1,misc
způsob,way,,A2,misc
společnost,company,,B1,misc
řada,turn,,A1,misc
koruna,crown,,A1,misc
možnost,possibility,,A1,misc
stát,state,,A2,places
skupina,group,,A1,misc
cena,price,,A1,misc
systém,system,,A2,misc
oblast,area,,B1,places
situace,situation,,A2,misc
většina,majority,,B1,misc
firma,firm,,A2,misc
jméno,name,,A1,misc
příjmení,surname,,A1,misc
důvod,reason,,A1,misc
změna,change,,A1,misc
síla,force,,A1,"misc,abstract"
výsledek,result,,A2,"misc,abstract"
pohled,look,,A2,misc
zájem,interest,,A2,"misc,abstract"
vztah,relation,,A1,misc
informace,information,,A2,misc
stav,condition,,A2,misc
základ,foundation,,A2,misc
podmínka,condition,,A2,misc
služba,service,,A1,misc
zákon,law,,A2,misc
počet,number,,A1,misc
tvář,face,růže,A1,body
právo,right,,A2,misc
začátek,beginning,,A1,time
pocit,feeling,,A1,"misc,abstract"
skutečnost,reality,,A2,misc
typ,type,,A2,misc
směr,direction,,A2,misc
hlas,voice,,A1,misc
druh,kind/sort,hrad,A2,misc
vláda,government,,A2,misc
cíl,goal,stroj,A2,misc
tělo,body,,A1,body
smysl,sense,,B1,"misc,abstract"
rozdíl,difference,,A1,misc
program,programme,,A1,misc
člen,member,pán,A1,"misc,people"
prostor,space,,A2,places
forma,form,,A2,misc
činnost,activity,,A2,misc
hodnota,value,,A2,"misc,abstract"
polovina,half,,A2,misc
republika,republic,,A2,misc
názor,opinion,,A1,"misc,abstract"
prostředí,environment,,A2,misc
léto,summer,,A1,"time,nature"
zpráva,news,,A1,misc
osoba,person,,A1,"misc,people"
století,century,,A2,time
válka,war,,A2,misc
období,period,,A1,time
hra,game,,A1,misc
procento,per cent,,A2,misc
číslo,number,,A1,misc
trh,market,,A2,places
úřad,authority,,A1,"misc,people"
vývoj,development,,A1,misc
proces,process,,A2,misc
prostředek,means,,A2,misc
úroveň,level,růže,A2,misc
role,role,,A2,misc
vliv,influence,,A2,"misc,abstract"
akce,action,,A2,misc
míra,rate,,A2,"misc,abstract"
pomoc,help,,A1,misc
krok,footstep,,A2,misc
světlo,light,,A2,misc
funkce,function,,A2,misc
ředitel,director,,A1,"misc,people"
zkušenost,experience,,A1,"misc,abstract"
představa,idea,,A1,"misc,abstract"
pokoj,room,,A1,places
kluk,boy,,A1,"family,people"
potřeba,need,,A1,misc
rámec,framework,,A2,misc
obraz,picture,,A2,objects
zdroj,source,,A2,misc
součást,part,,A2,"misc,abstract"
řešení,solution,,A2,misc
postup,procedure,,A2,misc
film,film,,A1,misc
hranice,border,,A1,places
dílo,work,,A2,misc
kolo,round,,A2,misc
rada,advice,,A1,misc
množství,amount,,A2,misc
podoba,form,,A2,misc
byt,flat,,A1,places
stránka,side,,A2,misc
centrum,centre,,A1,places
okamžik,moment,,A1,time
metr,metre,,A1,misc
holka,girl,,A1,"family,people"
bůh,God,,A1,misc
spousta,plenty,,A1,misc
bod,point,,A1,misc
televize,television,,A2,objects
myšlenka,thought,,A1,"misc,abstract"
vedení,management,,A2,misc
policie,police,,A1,misc
materiál,material,,A1,misc
podnik,enterprise,,A2,misc
úspěch,success,,A2,"misc,abstract"
soud,court,,A2,misc
podstata,essence,,A2,misc
autor,author,,A1,"misc,people"
význam,importance,,A1,misc
škoda,damage,,A1,misc
úkol,task,,A1,misc
věk,age,,A1,time
počátek,beginning,,A1,time
organizace,organization,,A2,misc
táta,dad,,A1,family
kus,piece,,A1,misc
barva,colour,,A1,misc
příklad,example,,A1,misc
jednání,negotiation,,A2,misc
smlouva,contract,,A2,misc
plán,plan,,A1,misc
pohyb,movement,,A2,misc
večer,evening,,A1,time
fakt,fact,,A1,misc
rozhodnutí,decision,,A2,misc
kousek,bit,,A1,misc
rodič,parent,,A1,"family,people"
neděle,Sunday,,A1,time
projekt,project,,A1,misc
jazyk,language,,A1,misc
přístup,approach,,A2,misc
návrh,proposal,,A2,misc
náklad,expense,,A2,misc
výkon,performance,,A2,"misc,people"
vlas,hair,,A1,body
strach,fear,,A1,"misc,abstract"
závěr,conclusion,,A2,misc
průběh,course,,A2,misc
volba,election,,A2,"misc,event"
řízení,proceeding,,A2,misc
podpora,support,,A2,misc
klub,club,,A1,misc
let,flight,,A1,transportation
zařízení,facility,,A1,misc
schopnost,ability,,A2,"misc,abstract"
stovka,hundred,,A1,misc
kraj,region,,A1,places
název,title,,A1,misc
máma,mum,,A1,family
šéf,boss,,A1,"misc,people"
pozornost,attention,,A1,"misc,abstract"
odpověď,answer,,A1,misc
zima,winter,,A1,"time,nature"
prezident,president,,A2,"misc,people"
politika,politics,,A2,misc
sobota,Saturday,,A1,time
souvislost,connection,,A2,misc
důsledek,consequence,,A2,misc
zbytek,rest,,A1,misc
příležitost,opportunity,,A2,misc
předmět,subject,,A1,misc
řeč,speech,,A1,misc
boj,fight,,A2,"misc,event"
požadavek,demand,,A2,"misc,people"
výroba,production,,A2,misc
ministr,minister,,A2,"misc,people"
hledisko,position,,A2,misc
téma,theme,,A1,misc
stavba,construction,,A2,misc
vzduch,air,,A1,misc
obyvatel,inhabitant,,A1,"misc,people"
rameno,shoulder,,A1,body
snaha,effort,,A1,"misc,abstract"
prst,finger,,A1,body
pátek,Friday,,A1,time
třída,class,,A1,misc
pole,field,,A2,"nature,places"
kvalita,quality,,A1,"misc,abstract"
pořádek,order,,A1,misc
ministerstvo,ministry,,A2,misc
událost,event,,A2,misc
divadlo,theatre,,A1,places
vůz,vehicle,,A1,transportation
návštěva,visit,,A2,misc
okolí,surroundings,,A2,misc
síť,network,růže,A2,misc
budova,building,,A1,places
klid,calm,,A1,misc
list,leaf,,A1,nature
historie,history,,A2,"misc,abstract"
chyba,mistake,,A1,misc
lékař,doctor,,A2,"misc,people"
ochrana,protection,,A2,misc
nemocnice,hospital,,A1,places
soutěž,contest,růže,A2,misc
šance,chance,,A1,misc
čelo,forehead,,A1,body
pokus,attempt,,A1,misc
zástupce,deputy,,A1,"misc,people"
tým,team,,A1,"misc,people"
stupeň,level,,A2,misc
metoda,method,,A2,misc
příprava,preparation,,A1,misc
majitel,owner,,A1,"misc,people"
pravidlo,rule,,A1,"misc,abstract"
krev,blood,růže,A1,body
desítka,ten,,A1,misc
postel,bed,růže,A1,objects
nabídka,offer,,A1,misc
září,September,,A1,time
zahrada,garden,,A1,"nature,places"
ztráta,loss,,A1,misc
umění,art,,A2,"misc,abstract"
záležitost,concern,,A2,misc
rozvoj,development,,A2,misc
kontrola,control,,A1,misc
předseda,chairman,,A2,"misc,people"
text,text,,A1,misc
chvilka,a (little) while,,A1,misc
obec,village,růže,A1,places
dívka,girl,,A1,"family,people"
obličej,face,,A1,body
studium,studies,,A1,misc
minulost,past,,A1,time
ohled,respect,,A2,misc
občan,citizen,,A2,"misc,people"
chuť,flavour,růže,A2,misc
technika,technology,,A2,misc
rozhovor,conversation,,A1,misc
veřejnost,public,,A1,misc
příčina,cause,,A2,"misc,abstract"
dopis,letter,,A1,objects
postava,figure,,A2,misc
praxe,practice,,A1,misc
zaměstnanec,employee,,A1,"misc,people"
vstup,entrance,,A1,misc
kultura,culture,,A2,"misc,abstract"
dojem,impression,,A1,misc
aktivita,activity,,A1,misc
spolupráce,cooperation,,A1,misc
hudba,music,,A1,misc
banka,bank,,A2,places
provoz,operation,,A2,misc
odborník,expert,,A1,"misc,people"
tlak,pressure,,A1,misc
stěna,wall,,A1,places
pracovník,worker,,A1,"misc,people"
zeď,wall,,A2,places
silnice,road,,A1,places
obsah,content,,A2,misc
kamarád,friend,,A1,"misc,people"
naděje,hope,,A1,"misc,abstract"
chlap,man,,A1,"misc,people"
zvíře,animal,,A1,animals
chování,behaviour,,A2,misc
struktura,structure,,A2,misc
maminka,mum,,A1,family
vznik,origin,,A2,misc
článek,article,,A1,"misc,abstract"
pondělí,Monday,,A1,time
povinnost,duty,,A2,"misc,abstract"
energie,energy,,A2,misc
starost,worry,,A1,misc
sen,dream,,A1,"misc,abstract"
výše,height,,A1,misc
úvaha,consideration,,A1,"misc,abstract"
území,area,,A1,places
výraz,expression,,A1,misc
poměr,ratio,,A1,"misc,abstract"
příběh,story,,A2,misc
kancelář,office,růže,A1,places
výhoda,advantage,,A1,"misc,abstract"
osud,fate,,A1,misc
spojení,conjunction,,A2,misc
kolega,colleague,,A1,"misc,people"
prvek,element,,A2,misc
princip,principle,,A2,misc
doktor,doctor,,A1,"misc,people"
nedostatek,lack,,A2,misc
útok,attack,,A2,misc
výjimka,exception,,A2,misc
zkouška,test,,A1,misc
host,guest,,A1,"misc,people"
látka,fabric,,A1,misc
pohoda,contentment,,A2,misc
budoucnost,future,,A1,time
velikost,size,,A1,misc
leden,January,,A1,time
nástroj,tool,,A2,objects
obor,profession,,A1,misc
model,model,,A2,misc
styl,style,,A1,misc
kámen,stone,,A1,nature
jednotka,unit,,A1,misc
víkend,weekend,,A1,time
pozice,position,,A1,misc
rána,wound,,A1,misc
dispozice,disposal,,A2,misc
krk,neck,,A1,body
prodej,sale,,A1,misc
údaj,(a piece of) information,,A2,misc
podíl,share,,A2,misc
účel,purpose,,A2,misc
tvar,shape,,A1,misc
příroda,nature,,A2,nature
postavení,status,,A2,misc
duše,soul,,A1,"misc,abstract"
půda,land,,A1,places
doprava,transport,,A1,transportation
ráno,morning,,A1,time
scéna,scene,,A1,misc
projev,expression,,A2,misc
moc,power,,A1,"misc,abstract"
kilometr,kilometre,,A1,misc
proud,stream,,A1,misc
výběr,selection,,A1,"misc,event"
osobnost,personality,,A2,"misc,people"
správa,management,,A2,misc
řád,order,,A2,misc
zdraví,health,,A2,misc
zákazník,client,,A1,"misc,people"
dolar,dollar,,A2,misc
zahraničí,foreign countries,,A2,misc
úprava,adjustment,,A2,misc
rychlost,speed,,A1,misc
zápas,fight,,A1,"misc,event"
majetek,possession,,A1,misc
červen,June,,A1,time
reakce,response,,A2,misc
květen,May,,A1,time
zub,tooth,,A1,body
stanice,station,,A1,places
oběd,lunch,,A1,"food,meal"
loď,ship,růže,A2,transportation
vrstva,layer,,A2,misc
orgán,organ,,A2,misc
objekt,object,,A2,misc
jaro,spring,,A1,"time,nature"
plocha,surface,,A1,misc
potíž,trouble,růže,A1,misc
stroj,machine,,A1,objects
policista,policeman,,A2,"misc,people"
čin,deed,,A1,misc
kůže,skin,,A1,body
časopis,magazine,,A2,misc
vítr,wind,,A1,nature
datum,date,,A1,time
divák,viewer,,A1,"misc,people"
péče,aid,,A1,misc
kuchyně,kitchen,,A1,places
nebezpečí,danger,,A1,misc
návrat,return,,A1,misc
charakter,character,,A1,misc
partner,partner,,A1,"misc,people"
voják,soldier,,A2,"misc,people"
kůň,horse,,A1,animals
okolnost,circumstance,,A2,misc
vlna,wave,,A2,misc
růst,growth,,A1,misc
zásada,principle,,A2,misc
opatření,measure,,A2,misc
tvorba,production,,A2,misc
oběť,victim,,A2,"misc,people"
čtvrtek,Thursday,,A1,time
účast,involvement,,A2,misc
fotografie,photograph,,A1,objects
středa,Wednesday,,A1,time
zbraň,weapon,růže,A2,objects
zboží,goods,,A2,misc
komise,committee,,A2,misc
úsměv,smile,,A1,misc
předpoklad,condition,,A2,misc
vlastnost,quality,,A2,"misc,abstract"
kontakt,contact,,A1,misc
stopa,trace,,A1,misc
domov,home,,A1,places
termín,deadline,,A1,misc
použití,use,,A2,misc
internet,the Internet,,A1,misc
univerzita,university,,A1,misc
zvuk,sound,,A1,misc
obrázek,picture,,A1,objects
nápad,idea,,A1,"misc,abstract"
celek,whole,,A2,misc
deska,board,,A1,objects
existence,existence,,A2,misc
výrobek,product,,A1,misc
unie,union,,A2,misc
obava,concern,,A1,misc
listopad,November,,A1,time
titul,title,,A1,misc
říjen,October,,A1,time
tma,dark,,A2,misc
riziko,risk,,A1,misc
pojem,notion,,A2,misc
střecha,roof,,A1,places
hráč,player,,A1,"misc,people"
operace,operation,,A2,misc
vědomí,awareness,,A1,"misc,abstract"
hospoda,pub,,A1,places
výška,height,,A1,misc
přednost,advantage,,A1,"misc,abstract"
mysl,mind,,A1,"misc,abstract"
agentura,agency,,A2,misc
generace,generation,,A2,"misc,abstract"
roh,corner,,A1,places
březen,March,,A1,time
tradice,tradition,,A2,"misc,abstract"
barák,house,,A2,places
oddělení,section,,A2,misc
výstava,exhibition,,A2,misc
technologie,technology,,A2,misc
nárok,right,,A2,"misc,abstract"
bolest,pain,,A1,body
komunikace,communication,,A2,misc
okraj,edge,,A1,misc
dohoda,agreement,,A2,misc
vůle,will,,A2,misc
armáda,army,,A2,misc
příjem,reception,,A2,misc
závod,race,,A2,"misc,event"
paměť,memory,,A2,"misc,abstract"
výzkum,research,,A2,"misc,abstract"
soubor,set,,A2,misc
duben,April,,A1,time
rozsah,extent,,A2,misc
řidič,driver,,A1,"misc,people"
kapsa,pocket,,A2,misc
král,king,,A1,"misc,people"
učitel,teacher,,A1,"misc,people"
adresa,address,,A1,misc
setkání,meeting,,A2,"misc,event"
využití,use,,A2,misc
večeře,dinner,,A1,"food,meal"
stín,shadow,,A1,misc
pád,drop,,A1,misc
nemoc,illness,,A1,body
srpen,August,,A1,time
jistota,confidence,,A1,misc
kategorie,category,,A2,misc
podzim,autumn,,A1,"time,nature"
důkaz,proof,,A1,misc
postoj,posture,,A1,misc
díl,part,,A1,"misc,abstract"
karta,card,,A1,objects
koleno,knee,,A1,body
povrch,surface,,A1,misc
mistr,master,,A1,misc
sezóna,season,,A1,time
knížka,book,,A2,objects
spor,dispute,,A1,misc
přítomnost,presence,,A2,misc
délka,length,,A1,misc
instituce,institution,,A2,misc
představitel,representative,,A1,"misc,people"
produkt,product,,A1,misc
obrana,defence,,A2,misc
vazba,relationship,,A2,misc
národ,nation,,A1,misc
značka,sign,,A2,misc
věta,sentence,,A1,misc
částka,amount,,A2,misc
fáze,phase,,A2,misc
ústav,institute,,A2,misc
kapitola,chapter,,A1,misc
únor,February,,A1,time
teorie,theory,,A2,misc
seznam,list,,A1,misc
kostel,church,,A1,places
politik,politician,,B1,misc
průměr,average,,A1,misc
teplo,heat,,A1,misc
chodba,corridor,,A1,places
úterý,Tuesday,,A1,time
kruh,circle,,A1,misc
následek,consequence,,A1,misc
ročník,year,,A1,time
dokument,document,,A1,misc
nebe,sky,,A1,nature
vítězství,victory,,A1,misc
prosinec,December,,A1,time
oheň,fire,,A1,misc
červenec,July,,A1,time
zisk,profit,,B1,misc
letadlo,aircraft,,B1,transportation
znalost,knowledge,,A1,"misc,abstract"
fond,fund,,A2,misc
mamka,mum,,A1,family
daň,tax,,B1,misc
východ,exit,,A1,misc
návštěvník,visitor,,A1,"misc,people"
norma,standard,,A2,misc
trest,punishment,,A1,misc
hrůza,horror,,A1,misc
režim,regime,,B1,misc
pozor,attention,,A2,"misc,abstract"
analýza,analysis,,A2,misc
dráha,track,,A1,misc
zvýšení,increase,,A2,misc
médium,medium,,A1,misc
srovnání,comparison,,A1,misc
záměr,intention,,A1,misc
účastník,participant,,A1,"misc,people"
původ,origin,,A1,misc
rozpočet,budget,,A2,misc
počasí,weather,,A1,nature
západ,west,,A1,misc
zámek,lock,,B1,misc
podlaha,floor,,A1,places
vzpomínka,remembrance,,B1,misc
výrobce,manufacturer,,A1,"misc,people"
věda,science,,A1,"misc,abstract"
schod,step,,A1,places
novinář,journalist,,B1,"misc,people"
svaz,union,,A1,misc
nálada,mood,,A1,misc
teplota,temperature,,A1,misc
ženská,woman,,A1,"misc,people"
snímek,photo,,A1,objects
odchod,leaving,,A1,misc
povaha,character,,B1,misc
bok,hip,,A1,misc
klíč,key,,A1,objects
literatura,literature,,A1,"misc,abstract"
nákup,shopping,,A1,places
průmysl,industry,,B1,misc
ostrov,island,,B1,"nature,places"
půlka,half,,A1,misc
ticho,silence,,A1,misc
jízda,riding,,B1,misc
smích,laughter,,A1,misc
fotka,photo,,A1,objects
koncert,concert,,A1,"misc,event"
poznámka,note,,A1,misc
podnikatel,businessman,,A1,"misc,people"
